"id_cheptel","id_commune","id_volume","ra_3010_dim2_mod","ra_3010_dim3_mod","n118_mod","n027_mod","valeur","volume"
11,9,1,5,1,0.11,40,32,153399
12,9,1,5,1,0.12,40,10,153399
13,9,1,6,1,0,40,225,153399
14,9,1,6,1,0.11,40,103,153399
15,9,1,6,1,0.12,40,122,153399
16,9,1,7,1,0,40,78,153399
17,9,1,7,1,0.11,40,56,153399
18,9,1,7,1,0.12,40,22,153399
19,9,1,8,1,0,40,400,153399
20,9,1,10,1,0,40,2325,153399
21,9,1,10,1,0.11,40,857,153399
22,9,1,10,1,0.12,40,1468,153399
23,9,1,11,1,0,40,2039,153399
24,9,1,11,1,0.11,40,738,153399
25,9,1,11,1,0.12,40,1301,153399
26,9,1,1,1,0,40,609,153399
27,9,1,1,1,0.11,40,285,153399
28,9,1,1,1,0.12,40,324,153399
29,9,1,2,1,0,40,403,153399
30,9,1,2,1,0.11,40,200,153399
31,9,1,2,1,0.12,40,203,153399
32,9,1,4,1,0,40,403,153399
33,9,1,4,1,0.11,40,200,153399
34,9,1,4,1,0.12,40,203,153399
35,9,1,5,1,0,40,31,153399
36,9,1,5,1,0.11,40,17,153399
37,9,1,5,1,0.12,40,14,153399
38,9,1,6,1,0,40,175,153399
39,9,1,6,1,0.11,40,68,153399
40,9,1,6,1,0.12,40,107,153399
41,9,1,7,1,0,40,31,153399
42,9,1,7,1,0.11,40,17,153399
43,9,1,7,1,0.12,40,14,153399
44,9,1,10,1,0.11,40,733,153399
45,9,1,11,1,0,40,1125,153399
46,9,1,12,1,0,40,99,153399
47,9,1,12,1,0.11,40,26,153399
48,9,1,12,1,0.12,40,73,153399
49,9,1,1,1,0,40,979,153399
50,9,1,1,1,0.11,40,294,153399
1,10,1,1,1,0,40,742,153399
2,10,1,1,1,0.11,40,376,153399
3,10,1,1,1,0.12,40,366,153399
4,10,1,2,1,0,40,475,153399
5,10,1,2,1,0.11,40,241,153399
6,10,1,2,1,0.12,40,234,153399
7,10,1,4,1,0,40,475,153399
8,10,1,4,1,0.11,40,241,153399
9,10,1,4,1,0.12,40,234,153399
10,10,1,5,1,0,40,42,153399
11,10,1,5,1,0.11,40,32,153399
12,10,1,5,1,0.12,40,10,153399
13,10,1,6,1,0,40,225,153399
14,10,1,6,1,0.11,40,103,153399
15,10,1,6,1,0.12,40,122,153399
16,10,1,7,1,0,40,78,153399
17,10,1,7,1,0.11,40,56,153399
18,10,1,7,1,0.12,40,22,153399
19,10,1,8,1,0,40,400,153399
20,10,1,10,1,0,40,2325,153399
21,10,1,10,1,0.11,40,857,153399
22,10,1,10,1,0.12,40,1468,153399
23,10,1,11,1,0,40,2039,153399
24,10,1,11,1,0.11,40,738,153399
25,10,1,11,1,0.12,40,1301,153399
26,10,1,1,1,0,40,609,153399
27,10,1,1,1,0.11,40,285,153399
28,10,1,1,1,0.12,40,324,153399
29,10,1,2,1,0,40,403,153399
30,10,1,2,1,0.11,40,200,153399
31,10,1,2,1,0.12,40,203,153399
32,10,1,4,1,0,40,403,153399
33,10,1,4,1,0.11,40,200,153399
34,10,1,4,1,0.12,40,203,153399
35,10,1,5,1,0,40,31,153399
36,10,1,5,1,0.11,40,17,153399
37,10,1,5,1,0.12,40,14,153399
38,10,1,6,1,0,40,175,153399
39,10,1,6,1,0.11,40,68,153399
40,10,1,6,1,0.12,40,107,153399
41,10,1,7,1,0,40,31,153399
42,10,1,7,1,0.11,40,17,153399
43,10,1,7,1,0.12,40,14,153399
44,10,1,10,1,0.11,40,733,153399
45,10,1,11,1,0,40,1125,153399
46,10,1,12,1,0,40,99,153399
47,10,1,12,1,0.11,40,26,153399
48,10,1,12,1,0.12,40,73,153399
49,10,1,1,1,0,40,979,153399
50,10,1,1,1,0.11,40,294,153399
1,11,1,1,1,0,40,742,153399
2,11,1,1,1,0.11,40,376,153399
3,11,1,1,1,0.12,40,366,153399
4,11,1,2,1,0,40,475,153399
5,11,1,2,1,0.11,40,241,153399
6,11,1,2,1,0.12,40,234,153399
7,11,1,4,1,0,40,475,153399
8,11,1,4,1,0.11,40,241,153399
9,11,1,4,1,0.12,40,234,153399
10,11,1,5,1,0,40,42,153399
11,11,1,5,1,0.11,40,32,153399
12,11,1,5,1,0.12,40,10,153399
13,11,1,6,1,0,40,225,153399
14,11,1,6,1,0.11,40,103,153399
15,11,1,6,1,0.12,40,122,153399
16,11,1,7,1,0,40,78,153399
17,11,1,7,1,0.11,40,56,153399
18,11,1,7,1,0.12,40,22,153399
19,11,1,8,1,0,40,400,153399
20,11,1,10,1,0,40,2325,153399
21,11,1,10,1,0.11,40,857,153399
22,11,1,10,1,0.12,40,1468,153399
23,11,1,11,1,0,40,2039,153399
24,11,1,11,1,0.11,40,738,153399
25,11,1,11,1,0.12,40,1301,153399
26,11,1,1,1,0,40,609,153399
27,11,1,1,1,0.11,40,285,153399
28,11,1,1,1,0.12,40,324,153399
29,11,1,2,1,0,40,403,153399
30,11,1,2,1,0.11,40,200,153399
31,11,1,2,1,0.12,40,203,153399
32,11,1,4,1,0,40,403,153399
33,11,1,4,1,0.11,40,200,153399
