"commune","canton","departement","territoire_de_projet"
"campile","alto-di-casaconi","haute-corse","pays bastiais"
"castello-di-rostino","castifao-morosaglia","haute-corse","centre corse"
"ghisonaccia","ghisoni","haute-corse","plaine orientale"
"letia","les deux-sorru","corse-du-sud","ouest corse"
"lumio","calvi","haute-corse","pays de balagne"
"monacia-d'aullene","figari","corse-du-sud","extreme sud / alta rocca"
"muro","belgodere","haute-corse","pays de balagne"
"nocario","orezza-alesani","haute-corse","castagniccia / mare e monti"
"prato-di-giovellina","niolu-omessa","haute-corse","centre corse"
"sant'andrea-di-cotone","campoloro-di-moriani","haute-corse","castagniccia / mare e monti"
"speloncato","belgodere","haute-corse","pays de balagne"
"tasso","zicavo","corse-du-sud","taravo / valinco / sartenais"
"viggianello","olmeto","corse-du-sud","taravo / valinco / sartenais"
"algajola","belgodere","haute-corse","pays de balagne"
"ampriani","moita-verde","haute-corse","plaine orientale"
"castellare-di-casinca","vescovato","haute-corse","castagniccia / mare e monti"
"murato","le haut-nebbio","haute-corse","pays bastiais"
"petreto-bicchisano","petreto-bicchisano","corse-du-sud","taravo / valinco / sartenais"
"san-giuliano","campoloro-di-moriani","haute-corse","castagniccia / mare e monti"
"san-martino-di-lota","san-martino-di-lota","haute-corse","pays bastiais"
"santa-maria-di-lota","san-martino-di-lota","haute-corse","pays bastiais"
"valle-di-rostino","castifao-morosaglia","haute-corse","centre corse"
"ville-di-paraso","belgodere","haute-corse","pays de balagne"
"zicavo","zicavo","corse-du-sud","taravo / valinco / sartenais"
"altiani","bustanico","haute-corse","centre corse"
"casabianca","fiumalto-d'ampugnani","haute-corse","castagniccia / mare e monti"
"giuncheto","sartene","corse-du-sud","taravo / valinco / sartenais"
"guitera-les-bains","zicavo","corse-du-sud","taravo / valinco / sartenais"
"luri","capobianco","haute-corse","pays bastiais"
"matra","moita-verde","haute-corse","plaine orientale"
"mazzola","bustanico","haute-corse","centre corse"
"moltifao","castifao-morosaglia","haute-corse","centre corse"
"montegrosso","calenzana","haute-corse","pays de balagne"
"monticello","l'ile-rousse","haute-corse","pays de balagne"
"olmi-cappella","belgodere","haute-corse","pays de balagne"
"omessa","niolu-omessa","haute-corse","centre corse"
"penta-acquatella","alto-di-casaconi","haute-corse","pays bastiais"
"pero-casevecchie","fiumalto-d'ampugnani","haute-corse","castagniccia / mare e monti"
"pietroso","vezzani","haute-corse","plaine orientale"
"poggio-di-venaco","venaco","haute-corse","centre corse"
"poggio-d'oletta","la conca-d'oro","haute-corse","pays bastiais"
"serra-di-fiumorbo","prunelli-di-fiumorbo","haute-corse","plaine orientale"
"sorbollano","tallano-scopamene","corse-du-sud","extreme sud / alta rocca"
"zonza","levie","corse-du-sud","extreme sud / alta rocca"
"ajaccio","ajaccio","corse-du-sud","pays ajaccien"
"ambiegna","cruzini-cinarca","corse-du-sud","ouest corse"
"feliceto","belgodere","haute-corse","pays de balagne"
"fozzano","olmeto","corse-du-sud","taravo / valinco / sartenais"
"frasseto","santa-maria-siche","corse-du-sud","taravo / valinco / sartenais"
"grossa","sartene","corse-du-sud","taravo / valinco / sartenais"
"lecci","porto-vecchio","corse-du-sud","extreme sud / alta rocca"
"linguizzetta","moita-verde","haute-corse","plaine orientale"
"perelli","orezza-alesani","haute-corse","castagniccia / mare e monti"
"pioggiola","belgodere","haute-corse","pays de balagne"
"salice","cruzini-cinarca","corse-du-sud","ouest corse"
"san-gavino-d'ampugnani","fiumalto-d'ampugnani","haute-corse","castagniccia / mare e monti"
"sotta","figari","corse-du-sud","extreme sud / alta rocca"
"tralonca","bustanico","haute-corse","centre corse"
"zerubia","tallano-scopamene","corse-du-sud","taravo / valinco / sartenais"
"arbellara","olmeto","corse-du-sud","taravo / valinco / sartenais"
"campo","santa-maria-siche","corse-du-sud","taravo / valinco / sartenais"
"canale-di-verde","moita-verde","haute-corse","plaine orientale"
"chisa","prunelli-di-fiumorbo","haute-corse","plaine orientale"
"erone","bustanico","haute-corse","centre corse"
"piobetta","orezza-alesani","haute-corse","castagniccia / mare e monti"
"poggio-marinaccio","fiumalto-d'ampugnani","haute-corse","castagniccia / mare e monti"
"rogliano","capobianco","haute-corse","pays bastiais"
"san-gavino-di-fiumorbo","prunelli-di-fiumorbo","haute-corse","plaine orientale"
"serra-di-ferro","santa-maria-siche","corse-du-sud","taravo / valinco / sartenais"
"vezzani","vezzani","haute-corse","plaine orientale"
"belvedere-campomoro","sartene","corse-du-sud","taravo / valinco / sartenais"
"campi","moita-verde","haute-corse","plaine orientale"
"farinole","la conca-d'oro","haute-corse","pays bastiais"
"guarguale","santa-maria-siche","corse-du-sud","taravo / valinco / sartenais"
"mela","tallano-scopamene","corse-du-sud","extreme sud / alta rocca"
"olmiccia","tallano-scopamene","corse-du-sud","extreme sud / alta rocca"
"sartene","sartene","corse-du-sud","taravo / valinco / sartenais"
"valle-di-mezzana","celavo-mezzana","corse-du-sud","pays ajaccien"
"vescovato","vescovato","haute-corse","castagniccia / mare e monti"
"vignale","borgo","haute-corse","pays bastiais"
"ville-di-pietrabugno","san-martino-di-lota","haute-corse","pays bastiais"
"bilia","sartene","corse-du-sud","taravo / valinco / sartenais"
"canari","sagro-di-santa-giulia","haute-corse","pays bastiais"
"castiglione","niolu-omessa","haute-corse","centre corse"
"coti-chiavari","santa-maria-siche","corse-du-sud","pays ajaccien"
"olcani","sagro-di-santa-giulia","haute-corse","pays bastiais"
"osani","les deux-sevi","corse-du-sud","ouest corse"
